ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC3,"R$ 0,01724983",01/12/2022,02/01/2023,JCP,"0,13%"
BBDC4,"R$ 0,01897481",01/12/2022,02/01/2023,JCP,"0,12%"
HYPE3,"R$ 0,30881000",28/03/2022,02/01/2023,JCP,"0,80%"
HYPE3,"R$ 0,30767000",28/09/2022,02/01/2023,JCP,"0,68%"
HYPE3,"R$ 0,30776000",27/06/2022,02/01/2023,JCP,"0,80%"
HYPE3,"R$ 0,30773000",22/12/2022,02/01/2023,JCP,"0,69%"
ITSA4,"R$ 0,02352950",30/11/2022,02/01/2023,JCP,"0,27%"
ITUB4,"R$ 0,01765000",30/11/2022,02/01/2023,JCP,"0,07%"
LREN3,"R$ 0,18404900",21/12/2022,06/01/2023,JCP,"0,86%"
DIRR3,"R$ 0,23333333",16/12/2022,09/01/2023,Dividendo,"1,59%"
B3SA3,"R$ 0,06398106",29/12/2022,13/01/2023,JCP,"0,48%"
SLCE3,"R$ 0,17387830",26/12/2022,13/01/2023,JCP,"0,38%"
STBP3,"R$ 0,01469493",20/12/2022,16/01/2023,JCP,"0,20%"
PETR3,"R$ 0,01141500",21/11/2022,19/01/2023,Rend. Tributado,"0,04%"
PETR3,"R$ 0,00052900",21/11/2022,19/01/2023,Rend. Tributado,"0,00%"
PETR3,"R$ 0,07425800",21/11/2022,19/01/2023,JCP,"0,25%"
PETR3,"R$ 1,60019200",21/11/2022,19/01/2023,Dividendo,"5,33%"
PETR4,"R$ 0,01141500",21/11/2022,19/01/2023,Rend. Tributado,"0,05%"
PETR4,"R$ 0,00052900",21/11/2022,19/01/2023,Rend. Tributado,"0,00%"
PETR4,"R$ 0,07425800",21/11/2022,19/01/2023,JCP,"0,28%"
PETR4,"R$ 1,60019200",21/11/2022,19/01/2023,Dividendo,"6,05%"
TAEE11,"R$ 1,33527274",10/01/2023,23/01/2023,Dividendo,"3,73%"
TIMS3,"R$ 0,18795501",21/12/2022,24/01/2023,JCP,"1,50%"
TOTS3,"R$ 0,21000000",29/12/2022,27/01/2023,JCP,"0,75%"
AZZA3,"R$ 0,74517524",16/12/2022,30/01/2023,JCP,"0,99%"
TIMS3,"R$ 0,10121125",21/09/2022,31/01/2023,JCP,"0,86%"
BBDC3,"R$ 0,01724983",02/01/2023,01/02/2023,JCP,"0,13%"
BBDC4,"R$ 0,01897481",02/01/2023,01/02/2023,JCP,"0,13%"
ITUB4,"R$ 0,01765000",29/12/2022,01/02/2023,JCP,"0,07%"
RENT3,"R$ 0,36616974",21/12/2022,13/02/2023,JCP,"0,69%"
BPAC11,"R$ 0,19605930",16/12/2022,15/02/2023,JCP,"0,92%"
BPAC11,"R$ 0,14769800",04/01/2023,15/02/2023,JCP,"0,68%"
CURY3,"R$ 0,20697914",24/01/2023,16/02/2023,Dividendo,"1,62%"
ASAI3,"R$ 0,03705995",28/12/2022,17/02/2023,JCP,"0,19%"
KLBN11,"R$ 0,03271520",20/12/2022,22/02/2023,JCP,"0,17%"
KLBN11,"R$ 0,31352065",13/02/2023,24/02/2023,Dividendo,"1,60%"
VBBR3,"R$ 0,39016209",21/12/2022,28/02/2023,JCP,"2,57%"
BBDC3,"R$ 0,01724983",01/02/2023,01/03/2023,JCP,"0,14%"
BBDC4,"R$ 0,01897481",01/02/2023,01/03/2023,JCP,"0,14%"
BBSE3,"R$ 1,83987361",14/02/2023,01/03/2023,Dividendo,"5,05%"
BBSE3,"R$ 0,03870357",14/02/2023,01/03/2023,Rend. Tributado,"0,11%"
ITUB4,"R$ 0,01765000",31/01/2023,01/03/2023,JCP,"0,07%"
BBAS3,"R$ 0,11774570",23/02/2023,03/03/2023,Dividendo,"0,28%"
BBAS3,"R$ 0,28676590",23/02/2023,03/03/2023,JCP,"0,69%"
BBAS3,"R$ 0,00259905",23/02/2023,03/03/2023,Rend. Tributado,"0,01%"
BBAS3,"R$ 0,00632989",23/02/2023,03/03/2023,Rend. Tributado,"0,02%"
UGPA3,"R$ 0,10000000",23/02/2023,03/03/2023,Dividendo,"0,74%"
SANB11,"R$ 0,45762922",26/01/2023,06/03/2023,JCP,"1,58%"
BBDC3,"R$ 0,53036882",06/01/2023,08/03/2023,JCP,"4,03%"
BBDC4,"R$ 0,58340570",06/01/2023,08/03/2023,JCP,"3,98%"
ITSA4,"R$ 0,14100000",08/12/2022,10/03/2023,JCP,"1,66%"
ITUB4,"R$ 0,48618000",08/12/2022,10/03/2023,JCP,"1,90%"
IGTI11,"R$ 0,09150832",03/03/2023,15/03/2023,Dividendo,"0,49%"
WEGE3,"R$ 0,04411765",23/09/2022,15/03/2023,JCP,"0,14%"
WEGE3,"R$ 0,22630373",17/02/2023,15/03/2023,Dividendo,"0,58%"
WEGE3,"R$ 0,05435294",16/12/2022,15/03/2023,JCP,"0,15%"
VALE3,"R$ 1,82764613",13/03/2023,22/03/2023,Dividendo,"2,15%"
VALE3,"R$ 0,29201269",12/12/2022,22/03/2023,JCP,"0,33%"
GGBR4,"R$ 0,20000000",14/03/2023,23/03/2023,Dividendo,"0,74%"
GOAU4,"R$ 0,10000000",14/03/2023,24/03/2023,Dividendo,"0,83%"
