ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC3,"R$ 0,01724983",02/12/2024,02/01/2025,JCP,"0,16%"
BBDC4,"R$ 0,01897481",02/12/2024,02/01/2025,JCP,"0,15%"
ITSA4,"R$ 0,02352950",29/11/2024,02/01/2025,JCP,"0,22%"
ITUB4,"R$ 0,01765000",29/11/2024,02/01/2025,JCP,"0,05%"
ABEV3,"R$ 0,42280000",19/12/2024,07/01/2025,Dividendo,"3,31%"
ALOS3,"R$ 0,12011045",20/12/2024,07/01/2025,JCP,"0,64%"
B3SA3,"R$ 0,06403360",30/12/2024,08/01/2025,JCP,"0,62%"
LREN3,"R$ 0,17062100",26/12/2024,08/01/2025,JCP,"1,36%"
STBP3,"R$ 0,04608886",27/12/2024,09/01/2025,JCP,"0,35%"
SUZB3,"R$ 2,01736251",16/12/2024,10/01/2025,JCP,"3,16%"
ELET3,"R$ 0,86297209",27/12/2024,13/01/2025,Dividendo,"2,47%"
ELET6,"R$ 1,82306353",27/12/2024,13/01/2025,Dividendo,"4,60%"
DIRR3,"R$ 0,15333333",17/09/2024,16/01/2025,Dividendo,"0,46%"
DIRR3,"R$ 0,42333333",03/01/2025,16/01/2025,Dividendo,"1,59%"
CXSE3,"R$ 0,31169733",03/01/2025,17/01/2025,Dividendo,"2,18%"
ISAE4,"R$ 0,78694500",09/01/2025,21/01/2025,JCP,"3,34%"
TIMS3,"R$ 0,26852812",23/12/2024,23/01/2025,JCP,"1,80%"
TAEE11,"R$ 0,26906310",11/11/2024,29/01/2025,Dividendo,"0,77%"
TAEE11,"R$ 0,39993549",11/11/2024,29/01/2025,JCP,"1,14%"
BBDC3,"R$ 0,35914135",17/06/2024,31/01/2025,JCP,"3,14%"
BBDC4,"R$ 0,39505549",17/06/2024,31/01/2025,JCP,"3,06%"
BBDC3,"R$ 0,01724983",02/01/2025,03/02/2025,JCP,"0,16%"
BBDC4,"R$ 0,01897481",02/01/2025,03/02/2025,JCP,"0,17%"
ITUB4,"R$ 0,01765000",30/12/2024,03/02/2025,JCP,"0,06%"
