ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
ARRI11,"R$ 0,08018867",30/12/2020,08/01/2021,Rendimento,"0,09%"
BRCO11,"R$ 0,55000000",30/12/2020,08/01/2021,Rendimento,"0,48%"
HSAF11,"R$ 0,70000000",30/12/2020,08/01/2021,Rendimento,"0,74%"
HSML11,"R$ 0,50000000",30/12/2020,08/01/2021,Rendimento,"0,53%"
LVBI11,"R$ 0,47000000",30/12/2020,08/01/2021,Rendimento,"0,39%"
PORD11,"R$ 0,10300000",30/12/2020,08/01/2021,Rendimento,"0,10%"
PVBI11,"R$ 0,47000000",30/12/2020,08/01/2021,Rendimento,"0,49%"
AIEC11,"R$ 0,57000000",30/12/2020,11/01/2021,Rendimento,"0,61%"
CACR11,"R$ 0,93000000",30/12/2020,11/01/2021,Rendimento,"0,85%"
GGRC11,"R$ 0,07000000",04/01/2021,11/01/2021,Rendimento,"0,05%"
PATL11,"R$ 0,54000000",30/12/2020,11/01/2021,Rendimento,"0,56%"
TGAR11,"R$ 1,36000000",30/12/2020,11/01/2021,Rendimento,"1,01%"
KNCR11,"R$ 0,43000000",30/12/2020,14/01/2021,Rendimento,"0,49%"
KNHY11,"R$ 1,23000000",30/12/2020,14/01/2021,Rendimento,"1,07%"
KNIP11,"R$ 1,35000000",30/12/2020,14/01/2021,Rendimento,"1,17%"
KNSC11,"R$ 0,08800000",30/12/2020,14/01/2021,Rendimento,"0,09%"
VCJR11,"R$ 1,21000000",30/12/2020,14/01/2021,Rendimento,"1,14%"
BCRI11,"R$ 1,14000000",30/12/2020,15/01/2021,Rendimento,"0,98%"
BRCR11,"R$ 0,50000000",08/01/2021,15/01/2021,Rendimento,"0,54%"
BTCI11,"R$ 0,06136518",08/01/2021,15/01/2021,Rendimento,"0,06%"
DEVA11,"R$ 2,51000000",08/01/2021,15/01/2021,Rendimento,"2,15%"
FATN11,"R$ 0,59000000",07/01/2021,15/01/2021,Rendimento,"0,00%"
GARE11,"R$ 0,07504733",30/12/2020,15/01/2021,Rendimento,"0,00%"
GTWR11,"R$ 0,68767600",30/12/2020,15/01/2021,Rendimento,"0,62%"
HABT11,"R$ 1,50000000",30/12/2020,15/01/2021,Rendimento,"1,24%"
HCTR11,"R$ 2,47000000",08/01/2021,15/01/2021,Rendimento,"1,65%"
HFOF11,"R$ 0,07500000",30/12/2020,15/01/2021,Rendimento,"0,07%"
HGBS11,"R$ 0,06600000",30/12/2020,15/01/2021,Rendimento,"0,03%"
HGCR11,"R$ 0,73000000",30/12/2020,15/01/2021,Rendimento,"0,72%"
HGLG11,"R$ 2,63000000",30/12/2020,15/01/2021,Rendimento,"1,45%"
HGRE11,"R$ 0,97000000",30/12/2020,15/01/2021,Rendimento,"0,62%"
HGRU11,"R$ 0,72000000",30/12/2020,15/01/2021,Rendimento,"0,56%"
HSLG11,"R$ 0,31000000",30/12/2020,15/01/2021,Rendimento,"0,29%"
KFOF11,"R$ 0,50000000",30/12/2020,15/01/2021,Rendimento,"0,47%"
KNRI11,"R$ 0,65000000",30/12/2020,15/01/2021,Rendimento,"0,40%"
MFII11,"R$ 1,04000000",30/12/2020,15/01/2021,Rendimento,"0,76%"
MXRF11,"R$ 0,07000000",30/12/2020,15/01/2021,Rendimento,"0,67%"
OUJP11,"R$ 1,15588785",30/12/2020,15/01/2021,Rendimento,"1,07%"
PMLL11,"R$ 0,62000000",30/12/2020,15/01/2021,Rendimento,"0,59%"
RBFF11,"R$ 0,55000000",30/12/2020,15/01/2021,Rendimento,"0,74%"
RBRL11,"R$ 0,68200000",08/01/2021,15/01/2021,Rendimento,"0,63%"
RBRP11,"R$ 0,55000000",08/01/2021,15/01/2021,Rendimento,"0,59%"
RBVA11,"R$ 0,09500000",30/12/2020,15/01/2021,Rendimento,"0,08%"
RCRB11,"R$ 0,80000000",07/01/2021,15/01/2021,Rendimento,"0,48%"
RECR11,"R$ 1,66910000",08/01/2021,15/01/2021,Rendimento,"1,46%"
TEPP11,"R$ 0,05200000",30/12/2020,15/01/2021,Rendimento,"0,06%"
TRBL11,"R$ 0,60000000",30/12/2020,15/01/2021,Rendimento,"0,58%"
TRXF11,"R$ 0,70000000",30/12/2020,15/01/2021,Rendimento,"0,69%"
TVRI11,"R$ 1,08232990",30/12/2020,15/01/2021,Rendimento,"0,87%"
URPR11,"R$ 2,01000000",30/12/2020,15/01/2021,Rendimento,"1,52%"
VILG11,"R$ 0,60000000",30/12/2020,15/01/2021,Rendimento,"0,47%"
VINO11,"R$ 0,08400000",30/12/2020,15/01/2021,Rendimento,"0,13%"
VISC11,"R$ 0,55000000",30/12/2020,15/01/2021,Rendimento,"0,48%"
VRTA11,"R$ 0,90000000",30/12/2020,15/01/2021,Rendimento,"0,77%"
XPCI11,"R$ 0,75000000",30/12/2020,15/01/2021,Rendimento,"0,81%"
XPLG11,"R$ 0,60000000",30/12/2020,15/01/2021,Rendimento,"0,48%"
XPSF11,"R$ 0,07000000",30/12/2020,15/01/2021,Rendimento,"0,07%"
PCIP11,"R$ 1,95000000",11/01/2021,18/01/2021,Rendimento,"1,84%"
PSEC11,"R$ 0,69000000",11/01/2021,18/01/2021,Rendimento,"0,73%"
RBRR11,"R$ 0,60000000",12/01/2021,19/01/2021,Rendimento,"0,63%"
RBRY11,"R$ 0,96500000",12/01/2021,19/01/2021,Rendimento,"0,91%"
CPTS11,"R$ 0,10000000",13/01/2021,20/01/2021,Rendimento,"0,10%"
MCCI11,"R$ 0,60000000",13/01/2021,20/01/2021,Rendimento,"0,58%"
VGIP11,"R$ 1,54000000",13/01/2021,20/01/2021,Rendimento,"1,38%"
VGIR11,"R$ 0,05012544",13/01/2021,20/01/2021,Rendimento,"0,06%"
ALZR11,"R$ 0,03906659",15/01/2021,22/01/2021,Rendimento,"0,03%"
BPML11,"R$ 0,20000000",15/01/2021,22/01/2021,Rendimento,"0,20%"
BTLG11,"R$ 0,60000000",15/01/2021,22/01/2021,Rendimento,"0,54%"
JSRE11,"R$ 0,56000000",30/12/2020,22/01/2021,Rendimento,"0,56%"
RZAK11,"R$ 0,00889349",15/01/2021,22/01/2021,Rendimento,"0,01%"
RZAT11,"R$ 0,87761831",15/01/2021,22/01/2021,Rendimento,"0,07%"
XPML11,"R$ 0,67830424",15/01/2021,22/01/2021,Rendimento,"0,59%"
BCIA11,"R$ 0,72000000",30/12/2020,29/01/2021,Rendimento,"0,62%"
ARRI11,"R$ 0,11936459",29/01/2021,05/02/2021,Rendimento,"0,13%"
BRCO11,"R$ 0,55000000",29/01/2021,05/02/2021,Rendimento,"0,48%"
HSAF11,"R$ 0,80000000",29/01/2021,05/02/2021,Rendimento,"0,84%"
HSML11,"R$ 0,50000000",29/01/2021,05/02/2021,Rendimento,"0,51%"
LVBI11,"R$ 0,52008192",29/01/2021,05/02/2021,Rendimento,"0,44%"
PORD11,"R$ 0,08100000",29/01/2021,05/02/2021,Rendimento,"0,08%"
PVBI11,"R$ 0,49103567",29/01/2021,05/02/2021,Rendimento,"0,51%"
RZTR11,"R$ 0,80000000",29/01/2021,05/02/2021,Rendimento,"0,74%"
AIEC11,"R$ 0,56000000",29/01/2021,08/02/2021,Rendimento,"0,59%"
CACR11,"R$ 0,96000000",29/01/2021,08/02/2021,Rendimento,"0,83%"
PATL11,"R$ 0,55000000",29/01/2021,08/02/2021,Rendimento,"0,59%"
TGAR11,"R$ 1,20000000",29/01/2021,08/02/2021,Rendimento,"0,83%"
GGRC11,"R$ 0,09700000",02/02/2021,09/02/2021,Rendimento,"0,07%"
KNCR11,"R$ 0,28000000",29/01/2021,11/02/2021,Rendimento,"0,32%"
KNHY11,"R$ 1,42000000",29/01/2021,11/02/2021,Rendimento,"1,26%"
KNIP11,"R$ 1,27000000",29/01/2021,11/02/2021,Rendimento,"1,12%"
KNSC11,"R$ 0,12800000",29/01/2021,11/02/2021,Rendimento,"0,12%"
VCJR11,"R$ 0,87000000",29/01/2021,11/02/2021,Rendimento,"0,82%"
BCRI11,"R$ 0,90000000",29/01/2021,12/02/2021,Rendimento,"0,76%"
BRCR11,"R$ 0,49025741",05/02/2021,12/02/2021,Rendimento,"0,55%"
BTCI11,"R$ 0,08333333",05/02/2021,12/02/2021,Rendimento,"0,09%"
DEVA11,"R$ 1,95000000",05/02/2021,12/02/2021,Rendimento,"1,35%"
FATN11,"R$ 0,62000000",04/02/2021,12/02/2021,Rendimento,"0,60%"
GARE11,"R$ 0,08100000",29/01/2021,12/02/2021,Rendimento,"0,07%"
GTWR11,"R$ 0,68767600",29/01/2021,12/02/2021,Rendimento,"0,63%"
HABT11,"R$ 1,25000000",29/01/2021,12/02/2021,Rendimento,"1,00%"
HCTR11,"R$ 2,22000000",05/02/2021,12/02/2021,Rendimento,"1,43%"
HFOF11,"R$ 0,05500000",29/01/2021,12/02/2021,Rendimento,"0,05%"
HGBS11,"R$ 0,08000000",29/01/2021,12/02/2021,Rendimento,"0,04%"
HGCR11,"R$ 0,62000000",29/01/2021,12/02/2021,Rendimento,"0,60%"
HGLG11,"R$ 0,78000000",29/01/2021,12/02/2021,Rendimento,"0,43%"
HGRE11,"R$ 0,67000000",29/01/2021,12/02/2021,Rendimento,"0,45%"
HGRU11,"R$ 0,68000000",29/01/2021,12/02/2021,Rendimento,"0,53%"
HSLG11,"R$ 0,58000000",29/01/2021,12/02/2021,Rendimento,"0,51%"
KFOF11,"R$ 0,50000000",29/01/2021,12/02/2021,Rendimento,"0,49%"
KISU11,"R$ 0,07200000",05/02/2021,12/02/2021,Rendimento,"0,07%"
KNRI11,"R$ 0,69000000",29/01/2021,12/02/2021,Rendimento,"0,43%"
MFII11,"R$ 1,01000000",29/01/2021,12/02/2021,Rendimento,"0,76%"
MXRF11,"R$ 0,08000000",29/01/2021,12/02/2021,Rendimento,"0,75%"
OUJP11,"R$ 0,70000000",29/01/2021,12/02/2021,Rendimento,"0,65%"
PMLL11,"R$ 0,62000000",29/01/2021,12/02/2021,Rendimento,"0,59%"
RBFF11,"R$ 0,50000000",29/01/2021,12/02/2021,Rendimento,"0,67%"
RBRL11,"R$ 0,60000000",05/02/2021,12/02/2021,Rendimento,"0,55%"
RBRP11,"R$ 0,52000000",05/02/2021,12/02/2021,Rendimento,"0,53%"
RBRR11,"R$ 0,60000000",05/02/2021,12/02/2021,Rendimento,"0,62%"
RBRY11,"R$ 0,75000000",05/02/2021,12/02/2021,Rendimento,"0,70%"
RBVA11,"R$ 0,09500000",29/01/2021,12/02/2021,Rendimento,"0,08%"
RCRB11,"R$ 0,80000000",04/02/2021,12/02/2021,Rendimento,"0,49%"
RECR11,"R$ 1,42000000",05/02/2021,12/02/2021,Rendimento,"1,27%"
TEPP11,"R$ 0,05000000",29/01/2021,12/02/2021,Rendimento,"0,06%"
TRBL11,"R$ 0,60000000",29/01/2021,12/02/2021,Rendimento,"0,58%"
TRXF11,"R$ 0,70000000",29/01/2021,12/02/2021,Rendimento,"0,66%"
TVRI11,"R$ 1,08232990",29/01/2021,12/02/2021,Rendimento,"0,94%"
URPR11,"R$ 2,25000000",29/01/2021,12/02/2021,Rendimento,"1,73%"
VILG11,"R$ 0,60000000",29/01/2021,12/02/2021,Rendimento,"0,50%"
VINO11,"R$ 0,09000000",29/01/2021,12/02/2021,Rendimento,"0,14%"
VISC11,"R$ 0,60000000",29/01/2021,12/02/2021,Rendimento,"0,51%"
VRTA11,"R$ 0,90000000",29/01/2021,12/02/2021,Rendimento,"0,78%"
XPCI11,"R$ 0,80000000",29/01/2021,12/02/2021,Rendimento,"0,83%"
XPLG11,"R$ 0,58000000",29/01/2021,12/02/2021,Rendimento,"0,48%"
