ATIVO,SETOR,INDUSTRIA,DATA,RECOMENDACAO
BBDC3,Banks - Regional,Financial Services,11-09-2025,none
BBDC4,Banks - Regional,Financial Services,11-09-2025,none
ITSA4,Conglomerates,Industrials,11-09-2025,strong_buy
ITUB4,Banks - Regional,Financial Services,11-09-2025,strong_buy
HYPE3,Drug Manufacturers - Specialty & Generic,Healthcare,11-09-2025,buy
B3SA3,Financial Data & Stock Exchanges,Financial Services,11-09-2025,buy
BEEF3,Farm Products,Consumer Defensive,11-09-2025,buy
VBBR3,Specialty Retail,Consumer Cyclical,11-09-2025,buy
ISAE4,Utilities - Independent Power Producers,Utilities,11-09-2025,hold
TIMS3,Telecom Services,Communication Services,11-09-2025,buy
ABEV3,Beverages - Brewers,Consumer Defensive,11-09-2025,hold
MRVE3,Real Estate - Development,Real Estate,11-09-2025,buy
EGIE3,Utilities - Renewable,Utilities,11-09-2025,underperform
SANB11,Banks - Regional,Financial Services,11-09-2025,buy
BPAC11,Capital Markets,Financial Services,11-09-2025,buy
RENT3,Rental & Leasing Services,Industrials,11-09-2025,strong_buy
ELET3,Utilities - Renewable,Utilities,11-09-2025,strong_buy
ELET6,Utilities - Renewable,Utilities,11-09-2025,strong_buy
BBSE3,Insurance - Diversified,Financial Services,11-09-2025,hold
BBAS3,Banks - Regional,Financial Services,11-09-2025,hold
FLRY3,Diagnostics & Research,Healthcare,11-09-2025,hold
RDOR3,Medical Care Facilities,Healthcare,11-09-2025,strong_buy
WEGE3,Electrical Equipment & Parts,Industrials,11-09-2025,hold
UGPA3,Oil & Gas Refining & Marketing,Energy,11-09-2025,buy
VALE3,Other Industrial Metals & Mining,Basic Materials,11-09-2025,buy
GGBR4,Steel,Basic Materials,11-09-2025,buy
GOAU4,Steel,Basic Materials,11-09-2025,buy
ENGI11,Utilities - Regulated Electric,Utilities,11-09-2025,buy
POMO4,Farm & Heavy Construction Machinery,Industrials,11-09-2025,strong_buy
PSSA3,Insurance - Diversified,Financial Services,11-09-2025,buy
PETR3,Oil & Gas Integrated,Energy,11-09-2025,buy
PETR4,Oil & Gas Integrated,Energy,11-09-2025,buy
CPLE6,Utilities - Regulated Electric,Utilities,11-09-2025,strong_buy
HAPV3,Insurance - Life,Financial Services,11-09-2025,strong_buy
MOTV3,Infrastructure Operations,Industrials,11-09-2025,buy
MRFG3,Packaged Foods,Consumer Defensive,11-09-2025,buy
MGLU3,Specialty Retail,Consumer Cyclical,11-09-2025,hold
LREN3,Department Stores,Consumer Cyclical,11-09-2025,buy
BRAP4,Asset Management,Financial Services,11-09-2025,hold
CSNA3,Steel,Basic Materials,11-09-2025,underperform
SLCE3,Farm Products,Consumer Defensive,11-09-2025,hold
VIVA3,Luxury Goods,Consumer Cyclical,11-09-2025,buy
ALOS3,Real Estate Services,Real Estate,11-09-2025,buy
CSAN3,Oil & Gas Refining & Marketing,Energy,11-09-2025,buy
TOTS3,Software - Application,Technology,11-09-2025,buy
TAEE11,Utilities - Regulated Electric,Utilities,11-09-2025,underperform
RADL3,Pharmaceutical Retailers,Healthcare,11-09-2025,buy
USIM5,Steel,Basic Materials,11-09-2025,hold
ASAI3,Grocery Stores,Consumer Defensive,11-09-2025,buy
DIRR3,Real Estate - Development,Real Estate,11-09-2025,strong_buy
CYRE3,Residential Construction,Consumer Cyclical,11-09-2025,buy
PCAR3,Department Stores,Consumer Cyclical,11-09-2025,none
CPFE3,Utilities - Regulated Electric,Utilities,11-09-2025,hold
SBSP3,Utilities - Regulated Water,Utilities,11-09-2025,buy
CMIG4,Utilities - Diversified,Utilities,11-09-2025,none
VIVT3,Telecom Services,Communication Services,11-09-2025,buy
AZZA3,Footwear & Accessories,Consumer Cyclical,11-09-2025,buy
CURY3,Real Estate - Development,Real Estate,11-09-2025,strong_buy
CMIN3,Steel,Basic Materials,11-09-2025,underperform
IRBR3,Insurance - Reinsurance,Financial Services,11-09-2025,buy
MULT3,Real Estate Services,Real Estate,11-09-2025,strong_buy
KLBN11,Paper & Paper Products,Basic Materials,11-09-2025,buy
CXSE3,Insurance - Diversified,Financial Services,11-09-2025,buy
YDUQ3,Education & Training Services,Consumer Defensive,11-09-2025,buy
BRKM5,Chemicals,Basic Materials,11-09-2025,hold
EQTL3,Utilities - Regulated Electric,Utilities,11-09-2025,strong_buy
STBP3,Marine Shipping,Industrials,11-09-2025,buy
VAMO3,Rental & Leasing Services,Industrials,11-09-2025,buy
SUZB3,Paper & Paper Products,Basic Materials,11-09-2025,strong_buy
RAIZ4,Utilities - Renewable,Utilities,11-09-2025,buy
IGTI11,Real Estate Services,Real Estate,11-09-2025,strong_buy
RECV3,Oil & Gas E&P,Energy,11-09-2025,buy
AURE3,Utilities - Renewable,Utilities,11-09-2025,hold
RAIL3,Railroads,Industrials,11-09-2025,buy
SMFT3,Leisure,Consumer Cyclical,11-09-2025,strong_buy
PRIO3,Oil & Gas E&P,Energy,11-09-2025,buy
BRAV3,Oil & Gas E&P,Energy,11-09-2025,buy
BRFS3,Packaged Foods,Consumer Defensive,11-09-2025,buy
EMBR3,Aerospace & Defense,Industrials,11-09-2025,buy
COGN3,Education & Training Services,Consumer Defensive,11-09-2025,buy
CEAB3,Specialty Retail,Consumer Cyclical,11-09-2025,strong_buy
