ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC3,0.01,2020-12-01,2021-01-04,JCP,0.08
BBDC4,0.01,2020-12-01,2021-01-04,JCP,0.08
ITSA4,0.02,2020-11-30,2021-01-04,Dividendo,0.19
ITUB4,0.01,2020-11-30,2021-01-04,Dividendo,0.05
BBDC3,0.37,2020-12-28,2021-01-07,JCP,1.51
BBDC4,0.41,2020-12-28,2021-01-07,JCP,1.49
HYPE3,0.29,2020-10-23,2021-01-07,JCP,0.93
HYPE3,0.29,2020-03-27,2021-01-07,JCP,0.96
HYPE3,0.29,2020-06-26,2021-01-07,JCP,0.84
HYPE3,0.29,2020-12-28,2021-01-07,JCP,0.85
B3SA3,0.04,2020-12-30,2021-01-08,JCP,0.08
B3SA3,0.13,2020-12-30,2021-01-08,Dividendo,0.22
BEEF3,0.04,2020-12-30,2021-01-11,JCP,0.41
VBBR3,0.42,2020-12-21,2021-01-12,JCP,1.91
VBBR3,0.0,2020-12-21,2021-01-12,Rend. Tributado,0.0
ISAE4,0.17,2020-12-16,2021-01-18,Dividendo,0.61
ISAE4,0.66,2020-12-16,2021-01-18,JCP,2.28
TIMS3,0.24,2020-12-18,2021-01-22,JCP,1.67
ABEV3,0.07,2021-01-13,2021-01-28,Dividendo,0.47
MRVE3,0.2,2021-01-18,2021-01-28,Dividendo,1.0
EGIE3,0.67,2020-12-18,2021-01-29,Dividendo,1.5
EGIE3,0.83,2020-08-07,2021-01-29,Dividendo,1.79
BBDC3,0.01,2021-01-04,2021-02-01,JCP,0.07
BBDC4,0.01,2021-01-04,2021-02-01,JCP,0.07
ITUB4,0.01,2020-12-30,2021-02-01,Dividendo,0.05
SANB11,0.17,2021-01-08,2021-02-01,JCP,0.38
BPAC11,0.15,2021-01-06,2021-02-05,JCP,0.17
BPAC11,0.14,2020-07-22,2021-02-05,JCP,0.17
RENT3,0.08,2020-12-15,2021-02-05,JCP,0.13
ELET3,1.43,2021-02-03,2021-02-19,Dividendo,4.53
ELET6,1.57,2021-02-03,2021-02-19,Dividendo,4.87
BBSE3,0.47,2021-02-11,2021-02-25,Dividendo,1.64
BBSE3,0.0,2021-02-11,2021-02-25,Rend. Tributado,0.0
BBDC3,0.01,2021-02-01,2021-03-01,JCP,0.08
BBDC4,0.01,2021-02-01,2021-03-01,JCP,0.08
ITUB4,0.01,2021-01-29,2021-03-01,Dividendo,0.05
BBAS3,0.21,2021-02-22,2021-03-03,JCP,0.73
BBAS3,0.0,2021-02-22,2021-03-03,Rend. Tributado,0.0
SANB11,0.13,2021-02-12,2021-03-03,Dividendo,0.34
FLRY3,0.23,2021-01-06,2021-03-05,JCP,0.88
BBDC3,0.01,2021-02-17,2021-03-08,JCP,0.09
BBDC4,0.02,2021-02-17,2021-03-08,JCP,0.09
RDOR3,0.13,2021-01-04,2021-03-08,JCP,0.19
WEGE3,0.17,2021-02-26,2021-03-10,Dividendo,0.22
WEGE3,0.01,2020-09-25,2021-03-10,JCP,0.03
WEGE3,0.01,2020-12-21,2021-03-10,JCP,0.03
ITSA4,0.1,2020-12-10,2021-03-12,JCP,0.89
ITSA4,0.02,2021-01-22,2021-03-12,JCP,0.19
ITUB4,0.09,2021-02-25,2021-03-12,Dividendo,0.37
ITUB4,0.05,2021-02-25,2021-03-12,JCP,0.19
ITUB4,0.06,2020-12-10,2021-03-12,JCP,0.2
ITUB4,0.05,2021-01-22,2021-03-12,JCP,0.17
UGPA3,0.44,2021-03-04,2021-03-12,Dividendo,2.29
VALE3,0.83,2021-03-04,2021-03-15,JCP,0.84
VALE3,3.42,2021-03-04,2021-03-15,Dividendo,3.45
GGBR4,0.13,2021-03-11,2021-03-25,JCP,0.47
GGBR4,0.17,2020-12-21,2021-03-25,JCP,0.71
GOAU4,0.08,2021-03-11,2021-03-26,JCP,0.64
GOAU4,0.09,2020-12-21,2021-03-26,JCP,0.82
ENGI11,1.1,2021-03-19,2021-03-30,Dividendo,2.39
BBAS3,0.07,2021-03-11,2021-03-31,JCP,0.24
POMO4,0.02,2020-12-22,2021-03-31,JCP,0.7
BBDC3,0.01,2021-03-01,2021-04-01,JCP,0.08
BBDC4,0.01,2021-03-01,2021-04-01,JCP,0.08
ITSA4,0.02,2021-02-26,2021-04-01,Dividendo,0.2
ITUB4,0.01,2021-02-26,2021-04-01,Dividendo,0.06
FLRY3,0.49,2021-03-02,2021-04-02,Dividendo,1.83
EGIE3,0.21,2020-12-18,2021-04-05,JCP,0.47
B3SA3,0.03,2021-03-26,2021-04-08,JCP,0.07
B3SA3,0.13,2021-03-24,2021-04-08,Dividendo,0.24
PSSA3,0.59,2020-06-29,2021-04-12,JCP,1.15
PSSA3,0.55,2020-10-30,2021-04-12,JCP,1.15
PSSA3,0.25,2021-03-31,2021-04-12,Dividendo,0.55
PSSA3,0.46,2021-03-31,2021-04-12,Dividendo,0.98
BEEF3,0.72,2021-04-12,2021-04-20,Dividendo,6.86
PETR3,0.78,2021-04-14,2021-04-29,Dividendo,3.28
PETR3,0.0,2021-04-14,2021-04-29,Rend. Tributado,0.02
PETR4,0.78,2021-04-14,2021-04-29,Dividendo,3.25
PETR4,0.0,2021-04-14,2021-04-29,Rend. Tributado,0.02
CPLE6,0.47,2021-03-31,2021-04-30,Dividendo,6.69
HAPV3,0.44,2020-09-10,2021-04-30,JCP,0.7
HAPV3,0.37,2021-01-07,2021-04-30,JCP,2.68
MOTV3,0.08,2021-04-08,2021-04-30,Dividendo,0.7
MRFG3,0.2,2021-04-09,2021-04-30,Dividendo,1.12
VBBR3,0.0,2021-04-15,2021-04-30,Rend. Tributado,0.03
VBBR3,0.94,2021-04-15,2021-04-30,Dividendo,4.04
BBDC3,0.01,2021-04-01,2021-05-03,JCP,0.07
BBDC4,0.01,2021-04-01,2021-05-03,JCP,0.07
ITUB4,0.01,2021-03-31,2021-05-03,Dividendo,0.05
MGLU3,0.26,2020-12-29,2021-05-05,JCP,1.04
B3SA3,0.19,2021-03-24,2021-05-07,Dividendo,0.36
LREN3,0.07,2020-03-19,2021-05-07,JCP,0.25
LREN3,0.03,2021-04-23,2021-05-07,Dividendo,0.1
LREN3,0.08,2020-09-22,2021-05-07,JCP,0.2
LREN3,0.07,2020-12-18,2021-05-07,JCP,0.17
LREN3,0.07,2020-06-23,2021-05-07,JCP,0.17
MRVE3,0.27,2021-04-29,2021-05-11,Dividendo,1.52
BRAP4,0.72,2021-03-31,2021-05-12,JCP,1.06
BRAP4,2.71,2021-03-31,2021-05-12,Dividendo,3.96
CSNA3,0.65,2021-04-30,2021-05-12,Dividendo,1.35
