ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
ARRI11,"0,08018867",2020-12-30,2021-01-08,Rendimento,"0,09"
BRCO11,"0,55000000",2020-12-30,2021-01-08,Rendimento,"0,48"
HSAF11,"0,70000000",2020-12-30,2021-01-08,Rendimento,"0,74"
HSML11,"0,50000000",2020-12-30,2021-01-08,Rendimento,"0,53"
LVBI11,"0,47000000",2020-12-30,2021-01-08,Rendimento,"0,39"
PORD11,"0,10300000",2020-12-30,2021-01-08,Rendimento,"0,10"
PVBI11,"0,47000000",2020-12-30,2021-01-08,Rendimento,"0,49"
AIEC11,"0,57000000",2020-12-30,2021-01-11,Rendimento,"0,61"
CACR11,"0,93000000",2020-12-30,2021-01-11,Rendimento,"0,85"
GGRC11,"0,07000000",2021-01-04,2021-01-11,Rendimento,"0,05"
PATL11,"0,54000000",2020-12-30,2021-01-11,Rendimento,"0,56"
TGAR11,"1,36000000",2020-12-30,2021-01-11,Rendimento,"1,01"
KNCR11,"0,43000000",2020-12-30,2021-01-14,Rendimento,"0,49"
KNHY11,"1,23000000",2020-12-30,2021-01-14,Rendimento,"1,07"
KNIP11,"1,35000000",2020-12-30,2021-01-14,Rendimento,"1,17"
KNSC11,"0,08800000",2020-12-30,2021-01-14,Rendimento,"0,09"
VCJR11,"1,21000000",2020-12-30,2021-01-14,Rendimento,"1,14"
BCRI11,"1,14000000",2020-12-30,2021-01-15,Rendimento,"0,98"
BRCR11,"0,50000000",2021-01-08,2021-01-15,Rendimento,"0,54"
BTCI11,"0,06136518",2021-01-08,2021-01-15,Rendimento,"0,06"
DEVA11,"2,51000000",2021-01-08,2021-01-15,Rendimento,"2,15"
FATN11,"0,59000000",2021-01-07,2021-01-15,Rendimento,"0,00"
GARE11,"0,07504733",2020-12-30,2021-01-15,Rendimento,"0,00"
GTWR11,"0,68767600",2020-12-30,2021-01-15,Rendimento,"0,62"
HABT11,"1,50000000",2020-12-30,2021-01-15,Rendimento,"1,24"
HCTR11,"2,47000000",2021-01-08,2021-01-15,Rendimento,"1,65"
HFOF11,"0,07500000",2020-12-30,2021-01-15,Rendimento,"0,07"
HGBS11,"0,06600000",2020-12-30,2021-01-15,Rendimento,"0,03"
HGCR11,"0,73000000",2020-12-30,2021-01-15,Rendimento,"0,72"
HGLG11,"2,63000000",2020-12-30,2021-01-15,Rendimento,"1,45"
HGRE11,"0,97000000",2020-12-30,2021-01-15,Rendimento,"0,62"
HGRU11,"0,72000000",2020-12-30,2021-01-15,Rendimento,"0,56"
HSLG11,"0,31000000",2020-12-30,2021-01-15,Rendimento,"0,29"
KFOF11,"0,50000000",2020-12-30,2021-01-15,Rendimento,"0,47"
KNRI11,"0,65000000",2020-12-30,2021-01-15,Rendimento,"0,40"
MFII11,"1,04000000",2020-12-30,2021-01-15,Rendimento,"0,76"
MXRF11,"0,07000000",2020-12-30,2021-01-15,Rendimento,"0,67"
OUJP11,"1,15588785",2020-12-30,2021-01-15,Rendimento,"1,07"
PMLL11,"0,62000000",2020-12-30,2021-01-15,Rendimento,"0,59"
RBFF11,"0,55000000",2020-12-30,2021-01-15,Rendimento,"0,74"
RBRL11,"0,68200000",2021-01-08,2021-01-15,Rendimento,"0,63"
RBRP11,"0,55000000",2021-01-08,2021-01-15,Rendimento,"0,59"
RBVA11,"0,09500000",2020-12-30,2021-01-15,Rendimento,"0,08"
RCRB11,"0,80000000",2021-01-07,2021-01-15,Rendimento,"0,48"
RECR11,"1,66910000",2021-01-08,2021-01-15,Rendimento,"1,46"
