ATIVO,SETOR,INDUSTRIA
ARRI11,REIT - Residential,Real Estate
BRCO11,REIT - Industrial,Real Estate
HSAF11,REIT - Diversified,Real Estate
HSML11,Asset Management,Financial Services
LVBI11,Real Estate Services,Real Estate
PORD11,REIT - Diversified,Real Estate
PVBI11,REIT - Diversified,Real Estate
AIEC11,REIT - Specialty,Real Estate
CACR11,REIT - Diversified,Real Estate
GGRC11,REIT - Industrial,Real Estate
PATL11,REIT - Industrial,Real Estate
TGAR11,REIT - Diversified,Real Estate
KNCR11,REIT - Mortgage,Real Estate
KNHY11,Asset Management,Financial Services
KNIP11,REIT - Diversified,Real Estate
KNSC11,REIT - Residential,Real Estate
VCJR11,REIT - Diversified,Real Estate
BCRI11,REIT - Diversified,Real Estate
BRCR11,REIT - Office,Real Estate
BTCI11,Asset Management,Financial Services
DEVA11,REIT - Diversified,Real Estate
FATN11,REIT - Specialty,Real Estate
GARE11,REIT - Specialty,Real Estate
GTWR11,REIT - Office,Real Estate
HABT11,Asset Management,Financial Services
HCTR11,Asset Management,Financial Services
HFOF11,REIT - Specialty,Real Estate
HGBS11,REIT - Retail,Real Estate
HGCR11,REIT - Diversified,Real Estate
HGLG11,REIT - Diversified,Real Estate
HGRE11,REIT - Diversified,Real Estate
HGRU11,REIT - Diversified,Real Estate
HSLG11,REIT - Diversified,Real Estate
KFOF11,Asset Management,Financial Services
KNRI11,REIT - Diversified,Financial
MFII11,REIT - Diversified,Real Estate
MXRF11,REIT - Diversified,Real Estate
OUJP11,REIT - Diversified,Real Estate
PMLL11,REIT - Retail,Real Estate
RBFF11,REIT - Mortgage,Real Estate
RBRL11,Asset Management,Financial Services
RBRP11,Asset Management,Financial Services
RBVA11,Asset Management,Financial
RCRB11,,
RECR11,REIT - Diversified,Real Estate
SARE11,REIT - Residential,Real Estate
TEPP11,REIT - Residential,Real Estate
TRBL11,REIT - Industrial,Real Estate
TRXF11,REIT - Diversified,Real Estate
TVRI11,REIT - Diversified,Real Estate
URPR11,REIT - Residential,Real Estate
VILG11,Asset Management,Financial Services
VINO11,REIT - Office,Real Estate
VISC11,REIT - Retail,Real Estate
VRTA11,REIT - Diversified,Real Estate
XPCI11,REIT - Mortgage,Real Estate
XPLG11,REIT - Industrial,Real Estate
XPSF11,REIT - Mortgage,Real Estate
CVBI11,REIT - Residential,Real Estate
RVBI11,REIT - Diversified,Real Estate
IRDM11,REIT - Diversified,Real Estate
RBRF11,REIT - Diversified,Real Estate
RBRR11,Asset Management,Financial Services
RBRY11,Asset Management,Financial Services
CPTS11,REIT - Diversified,Real Estate
MCCI11,REIT - Diversified,Real Estate
VGIP11,REIT - Diversified,Real Estate
VGIR11,REIT - Diversified,Real Estate
ALZR11,Real Estate Services,Real Estate
BPML11,REIT - Retail,Real Estate
BTLG11,REIT - Industrial,Real Estate
JSRE11,REIT - Diversified,Financial
RZAK11,REIT - Diversified,Real Estate
RZAT11,REIT - Diversified,Real Estate
XPML11,REIT - Retail,Real Estate
BCIA11,REIT - Diversified,Real Estate
RZTR11,REIT - Diversified,Real Estate
KISU11,REIT - Diversified,Real Estate
BLMG11,REIT - Industrial,Real Estate
BTAL11,REIT - Industrial,Real Estate
VGHF11,REIT - Diversified,Real Estate
AFHI11,REIT - Diversified,Real Estate
SNFF11,REIT - Diversified,Real Estate
MCRE11,REIT - Diversified,Real Estate
CYCR11,REIT - Diversified,Real Estate
SNCI11,Consulting Services,Industrials
JSAF11,REIT - Diversified,Real Estate
KCRE11,REIT - Specialty,Real Estate
KIVO11,REIT - Diversified,Real Estate
LIFE11,REIT - Diversified,Real Estate
RBRX11,REIT - Diversified,Real Estate
WHGR11,REIT - Specialty,Real Estate
MANA11,REIT - Specialty,Real Estate
HTMX11,REIT - Hotel & Motel,Real Estate
SPXS11,Asset Management,Financial Services
CCME11,REIT - Diversified,Real Estate
BROF11,REIT - Diversified,Real Estate
KNUQ11,REIT - Diversified,Real Estate
CPSH11,REIT - Retail,Real Estate
KNHF11,Asset Management,Financial Services
CLIN11,REIT - Diversified,Real Estate
SNEL11,REIT - Specialty,Real Estate
GZIT11,REIT - Specialty,Real Estate
VRTM11,REIT - Diversified,Real Estate
AJFI11,REIT - Diversified,Real Estate
PMIS11,REIT - Specialty,Real Estate
KORE11,REIT - Diversified,Real Estate
ICRI11,REIT - Diversified,Real Estate
VGRI11,REIT - Diversified,Real Estate
ITRI11,REIT - Diversified,Real Estate
BBIG11,REIT - Retail,Real Estate
AZPL11,REIT - Industrial,Real Estate
JSCR11,REIT - Diversified,Real Estate
TOPP11,REIT - Diversified,Real Estate
BTHF11,REIT - Diversified,Real Estate
