ATIVO,PRECO,SETOR,INDUSTRIA
AFHI11,92.54,REIT - Diversified,Real Estate
AIEC11,48.44,REIT - Specialty,Real Estate
AJFI11,7.67,REIT - Diversified,Real Estate
ALZR11,10.37,Real Estate Services,Real Estate
ARRI11,6.56,REIT - Residential,Real Estate
AZPL11,7.65,REIT - Industrial,Real Estate
BBIG11,6.9,REIT - Retail,Real Estate
BCIA11,83.83,REIT - Diversified,Real Estate
BCRI11,63.2,REIT - Diversified,Real Estate
BLMG11,33.88,REIT - Industrial,Real Estate
BPML11,77.0,REIT - Retail,Real Estate
BRCO11,111.49,REIT - Industrial,Real Estate
BRCR11,41.98,REIT - Office,Real Estate
BROF11,53.07,REIT - Diversified,Real Estate
BTAL11,77.54,REIT - Industrial,Real Estate
BTCI11,9.2,Asset Management,Financial Services
BTHF11,8.59,REIT - Diversified,Real Estate
BTLG11,101.5,REIT - Industrial,Real Estate
CACR11,68.6,REIT - Diversified,Real Estate
CCME11,8.85,REIT - Diversified,Real Estate
CLIN11,88.97,REIT - Diversified,Real Estate
CPSH11,9.58,REIT - Retail,Real Estate
CPTS11,7.45,REIT - Diversified,Real Estate
CVBI11,85.5,REIT - Residential,Real Estate
CYCR11,8.61,REIT - Diversified,Real Estate
DEVA11,26.77,REIT - Diversified,Real Estate
FATN11,81.92,REIT - Specialty,Real Estate
GARE11,9.0,REIT - Specialty,Real Estate
GGRC11,9.71,REIT - Industrial,Real Estate
GTWR11,75.95,REIT - Office,Real Estate
GZIT11,44.24,REIT - Specialty,Real Estate
HABT11,77.5,Asset Management,Financial Services
HCTR11,22.36,Asset Management,Financial Services
HFOF11,5.91,REIT - Specialty,Real Estate
HGBS11,19.4,REIT - Retail,Real Estate
HGCR11,94.01,REIT - Diversified,Real Estate
HGLG11,155.86,REIT - Diversified,Real Estate
HGRE11,115.8,REIT - Diversified,Real Estate
HGRU11,124.68,REIT - Diversified,Real Estate
HSAF11,77.87,REIT - Diversified,Real Estate
HSLG11,80.69,REIT - Diversified,Real Estate
HSML11,84.19,Asset Management,Financial Services
HTMX11,137.16,REIT - Hotel & Motel,Real Estate
ICRI11,91.1,REIT - Diversified,Real Estate
IRDM11,61.7,REIT - Diversified,Real Estate
ITRI11,76.94,REIT - Diversified,Real Estate
JSAF11,7.45,REIT - Diversified,Real Estate
JSCR11,8.0,REIT - Diversified,Real Estate
JSRE11,61.9,REIT - Diversified,Financial
KCRE11,8.4,REIT - Specialty,Real Estate
KFOF11,78.64,Asset Management,Financial Services
KISU11,6.76,REIT - Diversified,Real Estate
KIVO11,63.58,REIT - Diversified,Real Estate
KNCR11,105.13,REIT - Mortgage,Real Estate
KNHF11,90.78,Asset Management,Financial Services
KNHY11,100.3,Asset Management,Financial Services
KNIP11,86.63,REIT - Diversified,Real Estate
KNRI11,143.9,REIT - Diversified,Financial
KNSC11,8.6,REIT - Residential,Real Estate
KNUQ11,104.11,REIT - Diversified,Real Estate
