Ativo,Setor,Indústria,Data Recomendação,Recomendação,Tipo,Carteira,Balanço de Cotas
BBSE3,Insurance - Diversified,Financial Services,2025-12-03,hold,Ação,1,1
PETR4,Oil & Gas Integrated,Energy,2025-12-03,buy,Ação,1,10
TAEE11,Utilities - Regulated Electric,Utilities,2025-12-03,underperform,Ação,1,1
VALE3,Other Industrial Metals & Mining,Basic Materials,2025-12-03,buy,Ação,1,1
HGLG11,REIT - Diversified,Real Estate,,,FII,1,1
HTMX11,REIT - Hotel & Motel,Real Estate,,,FII,1,1
KNCR11,REIT - Mortgage,Real Estate,,,FII,1,1
XPCI11,REIT - Mortgage,Real Estate,,,FII,1,1
XPML11,REIT - Retail,Real Estate,,,FII,1,1
EMBR3,Aerospace & Defense,Industrials,2025-12-03,buy,Ação,2,1
GOAU3,Steel,Basic Materials,,,Ação,2,3
RAIL3,Railroads,Industrials,2025-12-03,buy,Ação,2,2
SUZB3,Paper & Paper Products,Basic Materials,2025-12-03,strong_buy,Ação,2,1
WEGE3,Electrical Equipment & Parts,Industrials,2025-12-03,hold,Ação,2,3
