Ativo,Data,Valor,Natureza,DATA COM,Tipo Receita,DY,Dono,Cotas Acumuladas,Dividendos Totais,Número de Cotas,Valor Investido,Preço Unitário,Preço Total
BBSE3,2020-10-01,23.68000030517578,Histórico de Preço,,,,,,,,,,
XPCI11,2020-10-01,89.4930191040039,Histórico de Preço,,,,,,,,,,
KNCR11,2020-10-01,91.9499969482422,Histórico de Preço,,,,,,,,,,
TAEE11,2020-10-01,28.149999618530277,Histórico de Preço,,,,,,,,,,
PETR4,2020-10-01,18.940000534057617,Histórico de Preço,,,,,,,,,,
HGLG11,2020-10-01,161.0518798828125,Histórico de Preço,,,,,,,,,,
VALE3,2020-10-01,60.54999923706055,Histórico de Preço,,,,,,,,,,
XPML11,2020-10-01,107.54708099365234,Histórico de Preço,,,,,,,,,,
HGLG11,2020-11-01,164.68536376953125,Histórico de Preço,,,,,,,,,,
PETR4,2020-11-01,24.899999618530277,Histórico de Preço,,,,,,,,,,
VALE3,2020-11-01,78.0,Histórico de Preço,,,,,,,,,,
XPCI11,2020-11-01,90.98290252685548,Histórico de Preço,,,,,,,,,,
BBSE3,2020-11-01,28.559999465942383,Histórico de Preço,,,,,,,,,,
XPML11,2020-11-01,108.92841339111328,Histórico de Preço,,,,,,,,,,
KNCR11,2020-11-01,88.69999694824219,Histórico de Preço,,,,,,,,,,
TAEE11,2020-11-01,33.04999923706055,Histórico de Preço,,,,,,,,,,
PETR4,2020-12-01,28.34000015258789,Histórico de Preço,,,,,,,,,,
HGLG11,2020-12-01,177.74627685546875,Histórico de Preço,,,,,,,,,,
HTMX11,2020-12-01,126.41999816894533,Histórico de Preço,,,,,,,,,,
KNCR11,2020-12-01,87.05000305175781,Histórico de Preço,,,,,,,,,,
BBSE3,2020-12-01,29.6299991607666,Histórico de Preço,,,,,,,,,,
XPCI11,2020-12-01,92.5527801513672,Histórico de Preço,,,,,,,,,,
VALE3,2020-12-01,87.44999694824219,Histórico de Preço,,,,,,,,,,
XPML11,2020-12-01,115.17404174804688,Histórico de Preço,,,,,,,,,,
TAEE11,2020-12-01,33.400001525878906,Histórico de Preço,,,,,,,,,,
XPML11,2021-01-01,112.89482879638672,Histórico de Preço,,,,,,,,,,
HGLG11,2021-01-01,176.42054748535156,Histórico de Preço,,,,,,,,,,
VALE3,2021-01-01,87.94999694824219,Histórico de Preço,,,,,,,,,,
BBSE3,2021-01-01,27.65999984741211,Histórico de Preço,,,,,,,,,,
XPCI11,2021-01-01,96.89244079589844,Histórico de Preço,,,,,,,,,,
PETR4,2021-01-01,26.690000534057617,Histórico de Preço,,,,,,,,,,
KNCR11,2021-01-01,88.81999969482422,Histórico de Preço,,,,,,,,,,
TAEE11,2021-01-01,32.54999923706055,Histórico de Preço,,,,,,,,,,
VALE3,2021-02-01,94.5199966430664,Histórico de Preço,,,,,,,,,,
XPML11,2021-02-01,106.94520568847656,Histórico de Preço,,,,,,,,,,
KNCR11,2021-02-01,89.41000366210938,Histórico de Preço,,,,,,,,,,
XPCI11,2021-02-01,95.59254455566406,Histórico de Preço,,,,,,,,,,
HGLG11,2021-02-01,175.7822265625,Histórico de Preço,,,,,,,,,,
BBSE3,2021-02-01,25.43000030517578,Histórico de Preço,,,,,,,,,,
TAEE11,2021-02-01,30.76000022888184,Histórico de Preço,,,,,,,,,,
PETR4,2021-02-01,22.239999771118164,Histórico de Preço,,,,,,,,,,
TAEE11,2021-03-01,38.91999816894531,Histórico de Preço,,,,,,,,,,
XPML11,2021-03-01,104.29106903076172,Histórico de Preço,,,,,,,,,,
BBSE3,2021-03-01,24.25,Histórico de Preço,,,,,,,,,,
VALE3,2021-03-01,97.97000122070312,Histórico de Preço,,,,,,,,,,
KNCR11,2021-03-01,93.5199966430664,Histórico de Preço,,,,,,,,,,
PETR4,2021-03-01,24.100000381469727,Histórico de Preço,,,,,,,,,,
XPCI11,2021-03-01,96.19249725341795,Histórico de Preço,,,,,,,,,,
HGLG11,2021-03-01,172.8263397216797,Histórico de Preço,,,,,,,,,,
HGLG11,2021-04-01,170.8721160888672,Histórico de Preço,,,,,,,,,,
PETR4,2021-04-01,23.6200008392334,Histórico de Preço,,,,,,,,,,
BBSE3,2021-04-01,22.32999992370605,Histórico de Preço,,,,,,,,,,
XPCI11,2021-04-01,99.72222137451172,Histórico de Preço,,,,,,,,,,
VALE3,2021-04-01,109.0199966430664,Histórico de Preço,,,,,,,,,,
KNCR11,2021-04-01,94.44000244140624,Histórico de Preço,,,,,,,,,,
TAEE11,2021-04-01,41.79999923706055,Histórico de Preço,,,,,,,,,,
XPML11,2021-04-01,104.58706665039062,Histórico de Preço,,,,,,,,,,
XPCI11,2021-05-01,99.9822006225586,Histórico de Preço,,,,,,,,,,
XPML11,2021-05-01,103.12679290771484,Histórico de Preço,,,,,,,,,,
KNCR11,2021-05-01,91.0199966430664,Histórico de Preço,,,,,,,,,,
VALE3,2021-05-01,114.77999877929688,Histórico de Preço,,,,,,,,,,
HGLG11,2021-05-01,166.49229431152344,Histórico de Preço,,,,,,,,,,
TAEE11,2021-05-01,38.7400016784668,Histórico de Preço,,,,,,,,,,
BBSE3,2021-05-01,23.399999618530277,Histórico de Preço,,,,,,,,,,
PETR4,2021-05-01,26.8700008392334,Histórico de Preço,,,,,,,,,,
XPCI11,2021-06-01,100.4921646118164,Histórico de Preço,,,,,,,,,,
KNCR11,2021-06-01,90.0,Histórico de Preço,,,,,,,,,,
PETR4,2021-06-01,29.43000030517578,Histórico de Preço,,,,,,,,,,
HTMX11,2021-06-01,102.0,Histórico de Preço,,,,,,,,,,
XPML11,2021-06-01,101.82438659667967,Histórico de Preço,,,,,,,,,,
TAEE11,2021-06-01,36.900001525878906,Histórico de Preço,,,,,,,,,,
BBSE3,2021-06-01,23.100000381469727,Histórico de Preço,,,,,,,,,,
VALE3,2021-06-01,113.25,Histórico de Preço,,,,,,,,,,
HGLG11,2021-06-01,165.56918334960938,Histórico de Preço,,,,,,,,,,
PETR4,2021-07-01,26.90999984741211,Histórico de Preço,,,,,,,,,,
HGLG11,2021-07-01,165.9325408935547,Histórico de Preço,,,,,,,,,,
BBSE3,2021-07-01,21.3700008392334,Histórico de Preço,,,,,,,,,,
HTMX11,2021-07-01,109.0999984741211,Histórico de Preço,,,,,,,,,,
VALE3,2021-07-01,108.76000213623048,Histórico de Preço,,,,,,,,,,
XPCI11,2021-07-01,102.2020263671875,Histórico de Preço,,,,,,,,,,
KNCR11,2021-07-01,93.16000366210938,Histórico de Preço,,,,,,,,,,
TAEE11,2021-07-01,38.02999877929688,Histórico de Preço,,,,,,,,,,
XPML11,2021-07-01,101.13372039794922,Histórico de Preço,,,,,,,,,,
HTMX11,2021-08-01,100.0999984741211,Histórico de Preço,,,,,,,,,,
XPML11,2021-08-01,100.91665649414062,Histórico de Preço,,,,,,,,,,
TAEE11,2021-08-01,37.90999984741211,Histórico de Preço,,,,,,,,,,
PETR4,2021-08-01,27.190000534057617,Histórico de Preço,,,,,,,,,,
HGLG11,2021-08-01,159.88327026367188,Histórico de Preço,,,,,,,,,,
KNCR11,2021-08-01,94.9800033569336,Histórico de Preço,,,,,,,,,,
VALE3,2021-08-01,98.68000030517578,Histórico de Preço,,,,,,,,,,
BBSE3,2021-08-01,19.059999465942383,Histórico de Preço,,,,,,,,,,
XPCI11,2021-08-01,100.1421890258789,Histórico de Preço,,,,,,,,,,
HTMX11,2021-09-01,101.51000213623048,Histórico de Preço,,,,,,,,,,
PETR4,2021-09-01,27.229999542236328,Histórico de Preço,,,,,,,,,,
HGLG11,2021-09-01,162.03390502929688,Histórico de Preço,,,,,,,,,,
BBSE3,2021-09-01,19.950000762939453,Histórico de Preço,,,,,,,,,,
XPCI11,2021-09-01,96.8824462890625,Histórico de Preço,,,,,,,,,,
XPML11,2021-09-01,94.52302551269533,Histórico de Preço,,,,,,,,,,
KNCR11,2021-09-01,97.26000213623048,Histórico de Preço,,,,,,,,,,
VALE3,2021-09-01,76.23999786376953,Histórico de Preço,,,,,,,,,,
TAEE11,2021-09-01,35.84000015258789,Histórico de Preço,,,,,,,,,,
HGLG11,2021-10-01,163.99795532226562,Histórico de Preço,,,,,,,,,,
VALE3,2021-10-01,71.61000061035156,Histórico de Preço,,,,,,,,,,
HTMX11,2021-10-01,96.38999938964844,Histórico de Preço,,,,,,,,,,
PETR4,2021-10-01,27.149999618530277,Histórico de Preço,,,,,,,,,,
KNCR11,2021-10-01,97.4000015258789,Histórico de Preço,,,,,,,,,,
XPCI11,2021-10-01,97.33240509033205,Histórico de Preço,,,,,,,,,,
BBSE3,2021-10-01,22.09000015258789,Histórico de Preço,,,,,,,,,,
XPML11,2021-10-01,97.3843765258789,Histórico de Preço,,,,,,,,,,
TAEE11,2021-10-01,36.65999984741211,Histórico de Preço,,,,,,,,,,
HGLG11,2021-11-01,157.123779296875,Histórico de Preço,,,,,,,,,,
VALE3,2021-11-01,69.94999694824219,Histórico de Preço,,,,,,,,,,
HTMX11,2021-11-01,84.5999984741211,Histórico de Preço,,,,,,,,,,
XPML11,2021-11-01,88.3070068359375,Histórico de Preço,,,,,,,,,,
TAEE11,2021-11-01,36.060001373291016,Histórico de Preço,,,,,,,,,,
KNCR11,2021-11-01,98.7300033569336,Histórico de Preço,,,,,,,,,,
BBSE3,2021-11-01,20.8799991607666,Histórico de Preço,,,,,,,,,,
XPCI11,2021-11-01,90.99290466308594,Histórico de Preço,,,,,,,,,,
PETR4,2021-11-01,29.43000030517578,Histórico de Preço,,,,,,,,,,
BBSE3,2021-12-01,20.8799991607666,Histórico de Preço,,,,,,,,,,
TAEE11,2021-12-01,36.290000915527344,Histórico de Preço,,,,,,,,,,
PETR4,2021-12-01,28.5,Histórico de Preço,,,,,,,,,,
HTMX11,2021-12-01,88.37999725341797,Histórico de Preço,,,,,,,,,,
